UNIV_ID,BRANCH,UNIV_NAME,City,Address,State,ZIP,Sector_id
156365001,Main Campus,Campbellsville University,CAMPBELLSVILLE,1 UNIVERSITY DR,KY,427182799,2
156365002,Brockman Center,Campbellsville University,Hodgenville,813 Old Elizabethtown Rd,KY,42718,2
156365003,Harrodsburg Education Center,Campbellsville University,Harrodsburg,1150 Harrodsburg Rd,KY,40330,2
156365004,Campbellsville University - Louisville Education Center,Campbellsville University,louisville,2300 Green Way,KY,40220,2
156365005,Campbellsville University - Somerset Education Center,Campbellsville University,Somerset,3825-C South Hwy 27,KY,42501,2
156392001,Bluegrass Community & Technical College--Leestown Campus,Bluegrass Community and Technical College,Lexington,164 Opportunity Way,KY,405112623,4
156392002,Bluegrass Community & Technical College--Cooper Campus,Bluegrass Community and Technical College,Lexington,470 Cooper Drive,KY,405060235,4
156392003,Bluegrass Community & Technical College--Danville Campus,Bluegrass Community and Technical College,Danville,59 Corporate Drive,KY,404229690,4
156392004,Bluegrass Community & Technical College--Lawrenceburg Campus,Bluegrass Community and Technical College,Lawrenceburg,"1500 Bypass North, U.S.  127",KY,403429465,4
156392006,Bluegrass Community & Technical College--Winchester/Clark County Campus,Bluegrass Community and Technical College,Winchester,2020 Rolling Hills Lane,KY,40391,4
156392008,Bluegrass Community & Technical College-Newtown Campus,Bluegrass Community and Technical College,Lexington,500 Newtown Pike,KY,405081207,4
156392009,Bluegrass Community and Technical College-Georgetown Campus,Bluegrass Community and Technical College,Georgetown,200 Technology Court,KY,40324,4
156408001,Main Campus,Centre College,DANVILLE,600 W WALNUT ST,KY,404221394,2
156417001,Clear Creek Baptist Bible College,Clear Creek Baptist Bible College,Pineville,300 Clear Creek Road,KY,409779752,2
156426001,Paul Mitchell The School Lexington,Paul Mitchell the School-Lexington,Lexington,3644 Boston Road,KY,40514,6
156471001,Galen College of Nursing - Louisville,Galen College of Nursing-Louisville,Louisville,1031 Zorn Avenue,KY,40207,3
156541001,Main Campus,University of the Cumberlands,WILLIAMSBURG,6191 College Station Drive,KY,40769,2
156541002,Northern Kentucky-Turfway Campus,University of the Cumberlands,Florence,410 Meijer Drive,KY,40142,2
156620001,Main Campus,Eastern Kentucky University,Richmond,521 Lancaster Avenue,KY,404753102,1
156620002,EKU Tri-County Corbin Center,Eastern Kentucky University,Corbin,One Pennington Way,KY,40701,1
156620003,EKU Danville Center,Eastern Kentucky University,Danville,1560 Hustonville Rd.,KY,40422,1
156620004,EKU Manchester Center,Eastern Kentucky University,Manchester,50 University Drive,KY,40962,1
156620005,Lancaster Center,Eastern Kentucky University,Lancaster,65 Public Square,KY,40444,1
156648001,Main Campus,Elizabethtown Community and Technical College,ELIZABETHTOWN,600 COLLEGE STREET RD,KY,427013081,4
156727001,Hyden Campus,Frontier Nursing University,HYDEN,195 School Street,KY,41749,2
156745001,Georgetown College,Georgetown College,GEORGETOWN,400 EAST COLLEGE ST,KY,40324,2
156754001,Main Campus,PJ's College of Cosmetology-Glasgow,GLASGOW,920 Happy Valley Road,KY,42141,6
156790001,Hazard Community and Technical College,Hazard Community and Technical College,HAZARD,One Community College Dr.,KY,417012402,4
156842001,Paul Mitchell the School Louisville,Paul Mitchell the School-Louisville,LOUISVILLE,156 N. Hurstbourne Pkwy,KY,40222,6
156851001,Main Campus,Henderson Community College,HENDERSON,2660 S GREEN ST,KY,424204699,4
156860001,Main Campus,Hopkinsville Community College,Hopkinsville,720 North Drive,KY,422412100,4
156860003,Fort Campbell Campus,Hopkinsville Community College,Fort Campbell,202 Bastogne Avenue,KY,42223,4
156860006,HCC-Todd County Campus,Hopkinsville Community College,Elkton,806 South Main,KY,422202100,4
156921001,Main (Downtown) Campus,Jefferson Community and Technical College,LOUISVILLE,109 E BROADWAY,KY,402022005,4
156921002,Southwest Campus,Jefferson Community and Technical College,Louisville,1000 Community College Drive,KY,40272,4
156921003,Jefferson Technical Campus,Jefferson Community and Technical College,Louisville,727 W. Chestnut,KY,40203,4
156921004,Shelby County Campus,Jefferson Community and Technical College,Shelbyville,1361 Frankfort Road,KY,40065,4
156921005,Carrollton Campus,Jefferson Community and Technical College,Carrollton,1607 Hwy 227,KY,41008,4
156921006,Bullitt County Campus,Jefferson Community and Technical College,Shepherdsville,"505 Buffalo Run Rd, Suite 101",KY,40165,4
156967001,Main Campus,Summit Salon Academy-Lexington,LEXINGTON,1300 New Circle Rd. Suite 110,KY,405051776,6
157021001,American National University - Louisville,American National University-Lexington,LOUISVILLE,4205 Dixie Highway,KY,40216,3
157021003,American National University - Pikeville,American National University-Lexington,Pikeville,50 National College Blvd.,KY,41501,3
157021004,American National University - Danville,American National University-Lexington,Danville,115 East Lexington Ave.,KY,40422,3
